date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:15	19164/19164	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:32%20GMT	https://vuighe.net/double-decker-doug-kirill	E:/123wwed/12hay/vuighe.net/double-decker-doug-kirill.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:15	19597/19597	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:32%20GMT	https://vuighe.net/rerided-tokigoe-no-derrida	E:/123wwed/12hay/vuighe.net/rerided-tokigoe-no-derrida.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:16	19049/19049	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:33%20GMT	https://vuighe.net/yagate-kimi-ni-naru	E:/123wwed/12hay/vuighe.net/yagate-kimi-ni-naru.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:16	19414/19414	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:33%20GMT	https://vuighe.net/goblin-slayer	E:/123wwed/12hay/vuighe.net/goblin-slayer.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:16	18682/18682	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:33%20GMT	https://vuighe.net/irozuku-sekai-no-ashita-kara	E:/123wwed/12hay/vuighe.net/irozuku-sekai-no-ashita-kara.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:16	20074/20074	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:33%20GMT	https://vuighe.net/souten-no-ken-regenesis	E:/123wwed/12hay/vuighe.net/souten-no-ken-regenesis.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:17	20032/20032	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:34%20GMT	https://vuighe.net/seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai	E:/123wwed/12hay/vuighe.net/seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:17	18503/18503	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:34%20GMT	https://vuighe.net/anima-yell	E:/123wwed/12hay/vuighe.net/anima-yell.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:17	18625/18625	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:34%20GMT	https://vuighe.net/ssssgridman	E:/123wwed/12hay/vuighe.net/ssssgridman.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:17	18671/18671	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:34%20GMT	https://vuighe.net/tonari-no-kyuuketsuki-san	E:/123wwed/12hay/vuighe.net/tonari-no-kyuuketsuki-san.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:18	18786/18786	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:35%20GMT	https://vuighe.net/akanesasu-shoujo	E:/123wwed/12hay/vuighe.net/akanesasu-shoujo.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:18	18739/18739	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:35%20GMT	https://vuighe.net/release-the-spyce	E:/123wwed/12hay/vuighe.net/release-the-spyce.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:18	19681/19681	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:35%20GMT	https://vuighe.net/ore-ga-suki-nano-wa-imouto-dakedo-imouto-ja-nai	E:/123wwed/12hay/vuighe.net/ore-ga-suki-nano-wa-imouto-dakedo-imouto-ja-nai.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:18	18290/18290	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:35%20GMT	https://vuighe.net/jingai-san-no-yome	E:/123wwed/12hay/vuighe.net/jingai-san-no-yome.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:18	19575/19575	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:36%20GMT	https://vuighe.net/merc-storia-mukiryoku-no-shounen-to-bin-no-naka-no-shoujo	E:/123wwed/12hay/vuighe.net/merc-storia-mukiryoku-no-shounen-to-bin-no-naka-no-shoujo.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:19	18888/18888	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:36%20GMT	https://vuighe.net/karakuri-circus	E:/123wwed/12hay/vuighe.net/karakuri-circus.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:19	18543/18543	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:36%20GMT	https://vuighe.net/himote-house	E:/123wwed/12hay/vuighe.net/himote-house.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:19	18795/18795	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:36%20GMT	https://vuighe.net/beatless	E:/123wwed/12hay/vuighe.net/beatless.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:19	18814/18814	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:37%20GMT	https://vuighe.net/gakuen-basara	E:/123wwed/12hay/vuighe.net/gakuen-basara.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:20	19471/19471	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:37%20GMT	https://vuighe.net/uchuu-senkan-tiramisu	E:/123wwed/12hay/vuighe.net/uchuu-senkan-tiramisu.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:20	0/-1	---M--	302	error ('')			https://vuighe.net/dang-nhap-facebook	E:/123wwed/12hay/vuighe.net/dang-nhap-facebook.5e2.delayed	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:20	0/-1	---M--	302	error ('')			https://vuighe.net/dang-nhap-google	E:/123wwed/12hay/vuighe.net/dang-nhap-google.5e3.delayed	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:20	18759/18759	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:37%20GMT	https://vuighe.net/gurazeni	E:/123wwed/12hay/vuighe.net/gurazeni.html	(from https://vuighe.net/bo-suu-tap/anime-mua-thu-2018)
23:20:20	19361/19361	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:37%20GMT	https://vuighe.net/aguu-tensai-ningyou	E:/123wwed/12hay/vuighe.net/aguu-tensai-ningyou.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:20	19957/19957	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:38%20GMT	https://vuighe.net/ani-ni-tsukeru-kusuri-wa-nai	E:/123wwed/12hay/vuighe.net/ani-ni-tsukeru-kusuri-wa-nai.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:21	19104/19104	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:38%20GMT	https://vuighe.net/shoujokageki-revue-starlight	E:/123wwed/12hay/vuighe.net/shoujokageki-revue-starlight.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:21	19144/19144	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:38%20GMT	https://vuighe.net/banana-fish	E:/123wwed/12hay/vuighe.net/banana-fish.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:21	18854/18854	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:38%20GMT	https://vuighe.net/tsukumogami-kashimasu	E:/123wwed/12hay/vuighe.net/tsukumogami-kashimasu.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:21	18404/18404	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:39%20GMT	https://vuighe.net/shinya-tensai-bakabon	E:/123wwed/12hay/vuighe.net/shinya-tensai-bakabon.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:22	20066/20066	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:39%20GMT	https://vuighe.net/dies-irae	E:/123wwed/12hay/vuighe.net/dies-irae.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:22	19010/19010	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:39%20GMT	https://vuighe.net/ongaku-shoujo-tv	E:/123wwed/12hay/vuighe.net/ongaku-shoujo-tv.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:22	18687/18687	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:39%20GMT	https://vuighe.net/chio-chan-no-tsuugakuro	E:/123wwed/12hay/vuighe.net/chio-chan-no-tsuugakuro.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
23:20:22	19678/19678	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:18:40%20GMT	https://vuighe.net/lord-of-vermilion-guren-no-ou	E:/123wwed/12hay/vuighe.net/lord-of-vermilion-guren-no-ou.html	(from https://vuighe.net/bo-suu-tap/anime-mua-he-2018)
